application_id,timestamp,race,sex,age_group,approval_decision,model_score,loan_amount,loan_duration_months,loan_purpose,annual_income,zipcode,employment_length_years,credit_score,marital_status,education_level
b49d2fd5-51fa-4bf7-a814-9b9129fa633c,2025-06-30 04:27:39.170410+00:00,Black,Male,18-35,0,0.18061114548799662,22079.945718224575,60,car,100848.9849095913,98101,15,700,Single,Bachelors
465879cd-c66d-49ab-9044-ddd5730790e4,2025-06-30 04:27:39.170426+00:00,Black,Female,36-55,1,0.6086397507470295,16779.28062719376,48,other,109167.86645328515,10001,15,650,Divorced,Bachelors
4730d280-650b-4711-9771-306a677f66ca,2025-06-30 04:27:39.170427+00:00,Hispanic,Male,36-55,1,0.7838226159732383,22419.478260712494,60,home,81352.40157344146,10001,2,650,Divorced,Bachelors
70d43e3a-0453-4310-890f-2ded8e687b34,2025-06-30 04:27:39.170427+00:00,Hispanic,Male,36-55,1,0.4097197876794505,27049.017406973864,12,other,56661.40371497211,98101,10,600,Divorced,HS
d3096503-a6c9-4c24-92ad-401da70cc9ee,2025-06-30 04:27:39.170428+00:00,Black,Male,36-55,0,0.6614090672851529,14708.384396251859,60,home,89171.26933064678,90210,10,600,Married,Masters
dc72cd13-e59b-4af8-a550-403603b4e15e,2025-06-30 04:27:39.170429+00:00,Hispanic,Male,36-55,0,0.3451599271865631,23368.79329345827,48,car,52563.55510674128,90210,2,700,Divorced,Masters
ad6f4c5a-8cdf-4fa4-9196-1bcc5b62d249,2025-06-30 04:27:39.170429+00:00,White,Male,36-55,1,0.3293213576145857,10065.159866085127,24,education,63613.83029210971,90210,1,650,Married,Bachelors
402c4d01-26de-4b14-a0c2-d46f9aec98cd,2025-06-30 04:27:39.170430+00:00,White,Male,18-35,1,0.5738664025102029,18579.099621288693,48,education,104019.14167740245,60601,10,650,Single,PhD
cd0b962a-4fc4-4eac-94f9-b4ebc1a68121,2025-06-30 04:27:39.170430+00:00,Asian,Female,36-55,0,0.7770213579555532,16947.652635227838,24,home,106764.56012621325,98101,2,800,Single,PhD
8a40e366-98f9-4bd2-9b29-149400a026e3,2025-06-30 04:27:39.170431+00:00,White,Female,18-35,0,0.4451626036662246,26221.11960666474,12,education,99413.2809856457,60601,0,650,Divorced,Bachelors
f72e3503-62e2-4cb5-900e-bc222998b48f,2025-06-30 04:27:39.170431+00:00,White,Female,36-55,0,0.5145975897770123,18737.658916840264,12,other,41716.02204730462,10001,1,700,Single,PhD
d00a8a2a-00f4-46d9-a536-e6012e6545c3,2025-06-30 04:27:39.170431+00:00,Black,Male,18-35,0,0.17400428354855813,19418.381420281334,24,home,75303.26334398177,98101,1,650,Single,HS
4f6f2999-669f-427b-b85a-a79be80b1616,2025-06-30 04:27:39.170432+00:00,White,Male,36-55,1,0.8234062233520086,26353.739807000824,12,other,92284.00774980485,98101,15,750,Single,PhD
cdd857be-694e-4368-a993-2aed98444edf,2025-06-30 04:27:39.170432+00:00,White,Female,18-35,0,0.7259795914911313,22300.955725626667,36,education,103550.4140234197,60601,2,700,Married,HS
0df4a2c2-a8a8-492d-9584-8d56cff8895e,2025-06-30 04:27:39.170433+00:00,Other,Female,18-35,1,0.5431634726755441,20906.637736137014,24,home,59888.80666670707,60601,5,800,Divorced,Masters
2471f660-8da2-4315-bf5e-aaff87f3e14a,2025-06-30 04:27:39.170433+00:00,White,Male,18-35,0,0.9068005910106675,18640.663297409083,48,other,94280.38862756453,10001,15,650,Divorced,PhD
e8bce5c4-74bd-4d87-bec6-53b7d883fb3d,2025-06-30 04:27:39.170433+00:00,Hispanic,Female,18-35,1,0.5624156194884372,22547.12636479995,36,education,97650.33645373998,60601,10,700,Divorced,PhD
